Microservices,CPU,mem,response,throughtput,timestamp
bookshop-purchases,75.1,341,9.02,141.36,11/07/2020 20:51
bookshop-books,75,3629,3.512,263.13,11/07/2020 20:53
bookshop-purchases,74.8,648,3.313,131.23,11/07/2020 20:53
bookshop-books,68.5,4288,2.055,157.86,11/07/2020 20:54
bookshop-purchases,57.9,657,9.196,0.367,11/07/2020 21:01
bookshop-ui,76.9,271,13.61,104.36,11/07/2020 21:09
bookshop-books,68.7,1466,1.992,174.7,11/07/2020 21:10
bookshop-books,51,2804,16.36,63.567,11/07/2020 21:13
bookshop-purchases,74.2,579,5.552,123.3,11/07/2020 21:13
bookshop-books,64.2,3756,2.001,169.5,11/07/2020 21:14
bookshop-purchases,58.6,670,8.097,4.667,11/07/2020 21:17
bookshop-purchases,57.4,671,13.33,1.4,11/07/2020 21:20
bookshop-purchases,60.4,386,2.968,160.83,11/07/2020 22:04
bookshop-books,39.5,2277,2.422,164.53,11/07/2020 22:04
bookshop-purchases,39,391,4.943,79.533,11/07/2020 22:04
bookshop-books,41.1,3318,2.185,174.03,11/07/2020 22:05
bookshop-books,53.5,4294,1.444,198.73,11/07/2020 22:06
bookshop-books,74.9,1199,3.544,152,11/07/2020 22:20
bookshop-books,53.9,1348,2.776,243.6,11/07/2020 22:20
bookshop-purchases,54.5,359,2.882,125.2,11/07/2020 22:20
bookshop-books,48,2036,2.711,306.8,11/07/2020 22:21
bookshop-purchases,44.4,366,4.019,139.33,11/07/2020 22:21
bookshop-books,55.8,2498,3.146,266.36,11/07/2020 22:22
bookshop-purchases,70,313,3.98,140.82,11/07/2020 22:29
bookshop-books,63.7,1990,2.021,340.36,11/07/2020 22:30
bookshop-books,26.6,2084,2.381,65.433,11/07/2020 22:30
bookshop-purchases,26.2,364,4.727,22.733,11/07/2020 22:30
bookshop-purchases,13.6,368,6.788,28.367,11/07/2020 22:30
bookshop-books,30.9,2365,1.421,114.3,11/07/2020 22:31
bookshop-books,38,2705,1.675,154.06,11/07/2020 22:32
bookshop-books,30.8,2940,1.896,85.3,11/07/2020 22:32
bookshop-books,39.3,3294,1.671,166.46,11/07/2020 22:33
bookshop-books,53.6,4140,1.726,252.43,11/07/2020 22:34
bookshop-purchases,53.4,565,4.897,122.86,11/07/2020 22:34
bookshop-purchases,37.9,563,5.814,38.967,11/07/2020 22:35
bookshop-books,64.1,2238,8.054,34.333,11/07/2020 22:40
bookshop-purchases,63.6,349,25.11,142.1,11/07/2020 22:40
bookshop-ui,21.6,287,2.066,53.5,11/07/2020 22:41
bookshop-books,21.8,2242,1.836,59.8,11/07/2020 22:41
bookshop-purchases,18.1,374,2.519,39.067,11/07/2020 22:42
bookshop-books,0.9,2243,2.086,61.733,11/07/2020 22:42
bookshop-books,19.3,2244,1.458,53.933,11/07/2020 22:43
bookshop-books,27.1,3030,2.352,131.73,11/07/2020 22:47
bookshop-purchases,27.9,380,8.524,37.2,11/07/2020 22:47
bookshop-books,21.4,3439,1.983,106.23,11/07/2020 22:48
bookshop-purchases,22.3,433,7.575,27.033,11/07/2020 22:48
bookshop-books,27.7,3619,1.656,117.2,11/07/2020 22:48
bookshop-purchases,27.2,495,6.496,46.067,11/07/2020 22:48
bookshop-purchases,38.8,496,2.905,63.433,11/07/2020 22:49
bookshop-purchases,23.2,570,5.585,19.7,11/07/2020 22:50
bookshop-purchases,52.1,776,3.998,164.2,11/07/2020 23:16
bookshop-books,52.2,910,0.851,327.76,11/07/2020 23:16
bookshop-purchases,73.5,1979,4.317,121,11/07/2020 23:17
bookshop-books,73.7,983,0.984,237.16,11/07/2020 23:17
bookshop-books,71.5,1046,0.432,231.66,11/07/2020 23:17
bookshop-purchases,74.3,2805,1.513,110.9,11/07/2020 23:18
bookshop-purchases,76.4,3035,1.208,108.76,11/07/2020 23:18
bookshop-books,76.6,1194,0.198,212.46,11/07/2020 23:18
bookshop-purchases,78,3312,0.408,101.6,11/07/2020 23:19
bookshop-purchases,87.8,3509,2.316,85.567,11/07/2020 23:20
bookshop-purchases,88.2,3575,3.502,82.5,11/07/2020 23:21
bookshop-purchases,22.5,3739,39.19,22.1,11/07/2020 23:22
bookshop-purchases,87.3,3939,6.536,73.333,11/07/2020 23:25
bookshop-purchases,89.5,4003,57.33,71.6,11/07/2020 23:26
bookshop-books,89.3,2683,0.639,145.63,11/07/2020 23:26
bookshop-books,89.8,2697,0.492,123.7,11/07/2020 23:26
bookshop-purchases,91.9,4360,15.73,63.733,11/07/2020 23:27
bookshop-books,92.4,2858,0.988,121.83,11/07/2020 23:28
bookshop-purchases,92.3,4366,7.367,57.7,11/07/2020 23:28
bookshop-books,92.1,2886,0.346,112.73,11/07/2020 23:29
bookshop-books,89.9,3091,2.639,99.167,11/07/2020 23:31
bookshop-purchases,92.6,4393,88.85,45.333,11/07/2020 23:33
bookshop-books,92.7,3183,0.489,105.1,11/07/2020 23:33
bookshop-purchases,92.9,4113,7.801,53.567,11/07/2020 23:34
bookshop-purchases,92.8,4015,9.432,50.633,11/07/2020 23:38
bookshop-purchases,90.5,4058,14.37,42.033,11/07/2020 23:39
bookshop-ui,93.4,277,2.616,44.733,11/07/2020 23:41
bookshop-purchases,93.5,4253,82.23,45.667,11/07/2020 23:41
bookshop-books,93.6,4239,0.999,92.367,11/07/2020 23:41
bookshop-ui,84.2,279,648.4,42.9,11/07/2020 23:41
bookshop-books,93.2,4334,1.016,85.833,11/07/2020 23:42
bookshop-books,93.9,4397,0.939,97.433,11/07/2020 23:42
bookshop-purchases,89.2,3965,39.45,44.733,11/07/2020 23:43
bookshop-books,90.3,4524,1.369,84.367,11/07/2020 23:45
bookshop-purchases,90.9,4166,14.89,39.633,11/07/2020 23:46
bookshop-purchases,93.7,4363,47.86,43,11/07/2020 23:47
bookshop-books,86.7,4466,2.087,74.3,11/07/2020 23:49
bookshop-books,78.1,4474,5.953,66.9,11/07/2020 23:50
bookshop-purchases,86.3,4435,27.5,36.967,11/07/2020 23:51
bookshop-books,76.1,4508,1.158,67.233,11/07/2020 23:53
bookshop-purchases,85.9,4448,20.96,41.233,11/07/2020 23:55
bookshop-purchases,82.6,4463,13.36,30.733,11/07/2020 23:57
bookshop-purchases,85.1,4453,29.32,30.333,11/07/2020 23:59
bookshop-books,85,4511,1.883,61.8,11/07/2020 23:59
bookshop-books,77.8,4527,1.4,63.767,12/07/2020 00:10
bookshop-books,85.6,4534,2.501,62.667,12/07/2020 00:12
bookshop-books,75.5,4531,1.082,50.5,12/07/2020 00:14
bookshop-purchases,79.4,4468,8.847,24.767,12/07/2020 00:15
bookshop-purchases,77.5,4469,80.43,18.5,12/07/2020 00:16
bookshop-books,76.8,4533,1.156,48.567,12/07/2020 00:16
bookshop-purchases,69.4,4470,76.9,21.733,12/07/2020 00:16
bookshop-purchases,71.9,4471,7.756,21.867,12/07/2020 00:18
bookshop-books,72.6,4530,5.538,58.9,12/07/2020 00:18
bookshop-purchases,73.1,4472,29.43,23.833,12/07/2020 00:18
bookshop-purchases,67.1,4473,51.8,24.156,12/07/2020 00:20
bookshop-purchases,36.9,3944,16.85,3.167,13/07/2020 18:19
bookshop-purchases,38.7,3943,52.56,2.533,13/07/2020 18:21
bookshop-books,38.2,4487,3799,2.71,13/07/2020 18:26
bookshop-ui,32.5,268,4.85,28.867,13/07/2020 19:50
bookshop-purchases,60.2,348,4.375,188.76,13/07/2020 19:50
bookshop-purchases,63,773,6.724,151.46,13/07/2020 19:54
bookshop-books,63.3,4144,1.439,306.26,13/07/2020 19:54
bookshop-purchases,37,2155,10.07,16.867,13/07/2020 19:55
bookshop-books,38.6,4301,2.015,19.879,13/07/2020 19:56
bookshop-purchases,41.9,441,3.923,207.93,13/07/2020 20:29
