Microservices,CPU,mem,response,throughtput,timestamp
bookshop-books,32.2,4321,1.584,12.914,07/07/2020 17:59
bookshop-purchases,32.6,571,36.36,5.167,07/07/2020 17:59
bookshop-ui,32.9,278,4.227,5.933,07/07/2020 17:59
bookshop-books,33.1,4321,3.718,11.188,07/07/2020 17:59
bookshop-purchases,35.2,571,6.669,5.233,07/07/2020 18:00
bookshop-ui,35.2,278,6.285,4.667,07/07/2020 18:00
bookshop-books,35.2,4321,2.077,8.71,07/07/2020 18:00
bookshop-purchases,35.5,571,25.03,4.133,07/07/2020 18:00
bookshop-ui,35.5,278,6.487,2.567,07/07/2020 18:00
bookshop-books,35.5,4321,3.107,6.774,07/07/2020 18:00
bookshop-purchases,35,571,12.8,3.267,07/07/2020 18:01
bookshop-ui,35,280,8.174,3.033,07/07/2020 18:01
bookshop-books,35,4321,3818,5.333,07/07/2020 18:01
bookshop-purchases,35.3,571,14.79,2.4,07/07/2020 18:01
bookshop-ui,35.3,280,63.75,2.1,07/07/2020 18:01
bookshop-books,35.3,4322,7.357,3.967,07/07/2020 18:01
bookshop-purchases,34.5,571,16.52,1.9,07/07/2020 18:02
bookshop-ui,34.8,280,62.39,1.733,07/07/2020 18:02
bookshop-books,34.8,4322,3842,3.233,07/07/2020 18:02
bookshop-purchases,32.8,571,28.73,1.4,07/07/2020 18:02
bookshop-ui,33.4,280,9.375,1.433,07/07/2020 18:02
bookshop-books,34.8,4322,3817,2.533,07/07/2020 18:02
bookshop-purchases,34.7,571,23.9,1.1,07/07/2020 18:03
bookshop-ui,33.7,280,481.5,1.067,07/07/2020 18:03
bookshop-books,34.3,4322,3818,1.933,07/07/2020 18:03
bookshop-purchases,34.6,571,29.79,0.7,07/07/2020 18:03
bookshop-ui,34.6,280,19.48,0.933,07/07/2020 18:03
bookshop-books,33,4322,3804,1.533,07/07/2020 18:03
bookshop-purchases,35,571,16.54,0.767,07/07/2020 18:04
bookshop-ui,35,280,832.9,0.567,07/07/2020 18:04
bookshop-books,34.8,4324,31.95,1.167,07/07/2020 18:04
bookshop-purchases,34.7,571,9.509,0.567,07/07/2020 18:04
bookshop-ui,34.7,280,3823,0.433,07/07/2020 18:04
bookshop-books,34.7,4324,3886,1,07/07/2020 18:04
bookshop-purchases,34.6,571,11.1,0.5,07/07/2020 18:05
bookshop-ui,34.6,280,6921,0.367,07/07/2020 18:05
bookshop-books,34.6,4324,7435,0.667,07/07/2020 18:05
bookshop-purchases,34.6,571,12.09,0.367,07/07/2020 18:05
bookshop-ui,34.6,280,4.217,136.36,07/07/2020 18:05
bookshop-books,34.6,4324,6614,0.633,07/07/2020 18:05
bookshop-purchases,34.5,571,11.96,0.3,07/07/2020 18:06
bookshop-ui,34.5,280,3.555,133.86,07/07/2020 18:06
bookshop-books,34.6,4324,2.358,273.83,07/07/2020 18:06
bookshop-purchases,34.6,571,12.43,0.233,07/07/2020 18:06
bookshop-ui,34.5,280,4.415,139.53,07/07/2020 18:07
bookshop-books,34.6,4325,3.054,280.8,07/07/2020 18:07
bookshop-purchases,33.9,571,14.5,0.1,07/07/2020 18:07
bookshop-ui,34.6,280,3.703,129.16,07/07/2020 18:07
bookshop-books,34.5,4325,2.71,269.16,07/07/2020 18:07
bookshop-purchases,32.8,571,5.25,0.067,07/07/2020 18:08
bookshop-ui,35.1,285,3.608,132.39,07/07/2020 18:12
bookshop-purchases,35.1,567,1.908,163.4,07/07/2020 18:12
bookshop-books,34.8,4316,4.961,327.73,07/07/2020 18:12
bookshop-ui,34.8,285,3.083,163,07/07/2020 18:12
bookshop-purchases,34.8,567,7.392,134,07/07/2020 18:13
bookshop-books,35,4316,3.625,259.33,07/07/2020 18:13
bookshop-ui,36.7,282,8.413,82.8,07/07/2020 18:19
bookshop-purchases,36.7,587,9.51,82.833,07/07/2020 18:19
bookshop-books,36.7,4301,0.644,137.42,07/07/2020 18:19
bookshop-ui,33.4,282,11.41,9.467,07/07/2020 18:20
bookshop-purchases,33.4,587,8.931,9.4,07/07/2020 18:20
bookshop-books,34.9,4301,3710,21.758,07/07/2020 18:20
bookshop-ui,35.8,282,14.54,9,07/07/2020 18:20
bookshop-purchases,35.8,587,23.24,9.267,07/07/2020 18:20
bookshop-books,34.3,4303,6.75,16.062,07/07/2020 18:20
bookshop-ui,35.7,282,5.616,7.133,07/07/2020 18:21
bookshop-purchases,35.7,587,12.4,7.167,07/07/2020 18:21
bookshop-books,35.7,4304,5.019,13.065,07/07/2020 18:21
bookshop-ui,35.5,282,2.213,5.167,07/07/2020 18:21
bookshop-purchases,35.5,587,21,5.5,07/07/2020 18:21
bookshop-books,35.4,4304,1.757,9.903,07/07/2020 18:21
bookshop-ui,35,283,8.973,4.4,07/07/2020 18:22
bookshop-purchases,35,587,11.93,4.5,07/07/2020 18:22
bookshop-books,35,4304,3.562,7.968,07/07/2020 18:22
bookshop-ui,35.4,284,2.29,2.467,07/07/2020 18:22
bookshop-purchases,35.4,588,52.97,2.667,07/07/2020 18:22
bookshop-books,35.3,4304,5719,6.2,07/07/2020 18:22
bookshop-ui,34.1,284,4.742,2.6,07/07/2020 18:23
bookshop-purchases,34.1,588,27.37,2.767,07/07/2020 18:23
