Microservices,CPU,mem,response,throughtput,timestamp
bookshop-purchases,83.2,574,12.72,99.033,08/07/2020 15:39
bookshop-books,83.2,3211,2.184,197.56,08/07/2020 15:39
bookshop-ui,83.1,300,4.2,97.133,08/07/2020 15:39
bookshop-purchases,83.9,574,8.509,95.367,08/07/2020 15:39
bookshop-books,83.8,3661,38.43,190.16,08/07/2020 15:39
bookshop-ui,83.9,301,5.506,94.033,08/07/2020 15:40
bookshop-purchases,84.9,660,11.22,56.067,08/07/2020 15:40
bookshop-books,84.7,4100,2.778,110.86,08/07/2020 15:40
bookshop-ui,84.6,298,6.42,56.6,08/07/2020 15:40
bookshop-purchases,82.2,661,6.162,57.6,08/07/2020 15:40
bookshop-books,82.4,4296,1.831,114.93,08/07/2020 15:40
bookshop-ui,81.2,298,4.31,7.767,08/07/2020 15:41
bookshop-purchases,80.5,661,8.422,6.6,08/07/2020 15:41
bookshop-books,80.5,4299,4079,14.778,08/07/2020 15:41
bookshop-ui,80.9,298,9.407,6.533,08/07/2020 15:42
bookshop-purchases,80.9,661,11.89,5.9,08/07/2020 15:42
bookshop-books,81.7,4300,4145,13.757,08/07/2020 15:42
bookshop-ui,81.5,298,32.12,6.6,08/07/2020 15:42
bookshop-purchases,82,661,5.375,5.1,08/07/2020 15:42
bookshop-books,81.2,4300,7.256,11.4,08/07/2020 15:42
bookshop-ui,81,298,18.63,4.3,08/07/2020 15:43
bookshop-purchases,80,663,11.63,4.833,08/07/2020 15:43
bookshop-books,80,4300,4115,8.771,08/07/2020 15:43
bookshop-ui,80,298,10.47,3.167,08/07/2020 15:43
bookshop-purchases,81.6,664,7.603,3.067,08/07/2020 15:43
bookshop-books,81.7,4300,1.998,7.235,08/07/2020 15:43
bookshop-ui,80.5,299,16.63,1.967,08/07/2020 15:44
bookshop-purchases,81.4,664,36.21,1.933,08/07/2020 15:44
bookshop-books,81.8,4301,4.003,5.324,08/07/2020 15:44
bookshop-ui,81.8,299,8.274,2.333,08/07/2020 15:45
bookshop-purchases,81.4,672,17.51,2.1,08/07/2020 15:45
bookshop-books,81,4301,2.41,4.235,08/07/2020 15:45
bookshop-ui,81,299,21.19,1.3,08/07/2020 15:45
bookshop-purchases,81.1,672,25.71,1.3,08/07/2020 15:45
bookshop-books,81.6,4302,4244,3.265,08/07/2020 15:45
bookshop-ui,81.6,299,133.1,1.4,08/07/2020 15:46
bookshop-purchases,80.8,672,15.19,1.433,08/07/2020 15:46
bookshop-books,80.3,4302,3.935,2.529,08/07/2020 15:46
bookshop-ui,80.3,299,83.16,0.7,08/07/2020 15:46
bookshop-purchases,81.1,672,16.78,0.8,08/07/2020 15:46
bookshop-books,81.6,4302,1.623,2.029,08/07/2020 15:46
bookshop-ui,81.6,299,101.6,0.967,08/07/2020 15:47
bookshop-purchases,80.6,672,19.39,1.1,08/07/2020 15:47
bookshop-books,80.1,4303,6.263,1.364,08/07/2020 15:47
bookshop-ui,80.1,299,764.7,0.4,08/07/2020 15:47
bookshop-purchases,81.6,672,15.3,0.733,08/07/2020 15:47
bookshop-books,81.6,4303,4221,1.206,08/07/2020 15:47
bookshop-ui,81.6,303,1978,0.5,08/07/2020 15:48
bookshop-purchases,80.3,672,11.66,0.7,08/07/2020 15:48
bookshop-books,80.3,4303,151.2,0.939,08/07/2020 15:48
bookshop-ui,81.5,299,8296,0.233,08/07/2020 15:49
bookshop-purchases,80.7,676,12.96,0.267,08/07/2020 15:49
bookshop-books,80.7,4303,134.6,0.576,08/07/2020 15:49
bookshop-ui,81.2,299,8301,0.267,08/07/2020 15:49
bookshop-purchases,81.4,676,13.18,0.433,08/07/2020 15:49
bookshop-books,81.4,4304,378.6,0.576,08/07/2020 15:49
bookshop-ui,80.9,299,8866,0.167,08/07/2020 15:50
bookshop-purchases,80.5,676,11.75,0.233,08/07/2020 15:50
bookshop-books,81.2,4304,6256,0.667,08/07/2020 15:50
bookshop-ui,81.6,299,6613,0.1,08/07/2020 15:50
bookshop-purchases,81.6,676,8.516,0.233,08/07/2020 15:50
bookshop-books,80.9,4304,6299,0.212,08/07/2020 15:50
bookshop-ui,81.8,299,8713,0.067,08/07/2020 15:51
bookshop-purchases,80.7,676,10.87,0.133,08/07/2020 15:51
bookshop-books,80.4,4304,7236,0.286,08/07/2020 15:51
bookshop-ui,80.5,300,4248,0.033,08/07/2020 15:52
bookshop-purchases,81.9,676,15.4,0.2,08/07/2020 15:52
bookshop-books,81.7,4305,3.422,0.212,08/07/2020 15:52
bookshop-ui,81.7,300,13010,0.067,08/07/2020 15:52
bookshop-purchases,80.3,676,8.5,0.033,08/07/2020 15:52
bookshop-books,80.4,4305,8296,0.182,08/07/2020 15:52
bookshop-ui,81.6,304,6344,0.033,08/07/2020 15:53
bookshop-purchases,80.3,676,4.5,0.033,08/07/2020 15:53
bookshop-books,80.4,4305,14470,0.182,08/07/2020 15:53
bookshop-ui,82,282,3.953,87.3,08/07/2020 15:58
bookshop-books,82.3,2228,4.381,168.06,08/07/2020 15:59
bookshop-purchases,82.2,425,18.87,84.6,08/07/2020 15:59
bookshop-ui,82.1,282,4.993,80.633,08/07/2020 15:59
bookshop-books,88,2915,12.49,151.66,08/07/2020 15:59
bookshop-purchases,88.1,485,7.488,78.5,08/07/2020 15:59
bookshop-ui,88,284,9.732,57.633,08/07/2020 15:59
bookshop-books,81.1,2987,1.845,167.8,08/07/2020 16:00
bookshop-purchases,81.1,487,8.834,88.1,08/07/2020 16:00
bookshop-ui,81.1,285,21.66,86.667,08/07/2020 16:00
bookshop-books,81.9,2988,2.099,170.6,08/07/2020 16:00
bookshop-purchases,81.8,487,12.38,84.8,08/07/2020 16:00
bookshop-ui,81.6,285,5.843,84.733,08/07/2020 16:00
bookshop-books,78.6,3249,2.068,140.86,08/07/2020 16:01
bookshop-purchases,78.6,560,2.961,70.567,08/07/2020 16:01
bookshop-ui,82.2,281,4.855,86.2,08/07/2020 16:03
bookshop-books,80.7,4306,3.001,150.8,08/07/2020 16:03
bookshop-purchases,80.7,647,3.334,75.267,08/07/2020 16:04
bookshop-ui,80.7,281,35.91,63.767,08/07/2020 16:04
bookshop-books,88.3,4306,7.838,125.55,08/07/2020 16:04
bookshop-purchases,88.8,647,6.904,55.3,08/07/2020 16:04
bookshop-ui,89,281,16.3,55.733,08/07/2020 16:04
bookshop-books,76.7,4307,7391,88.632,08/07/2020 16:04
bookshop-purchases,76.7,647,6.699,8,08/07/2020 16:04
bookshop-ui,77,281,5.325,4.267,08/07/2020 16:04
bookshop-books,81.8,4308,4224,8.5,08/07/2020 16:05
bookshop-purchases,81.4,656,9.277,5.567,08/07/2020 16:05
bookshop-ui,80.8,281,7.127,4.8,08/07/2020 16:05
bookshop-books,81,4308,3.264,11.4,08/07/2020 16:05
bookshop-purchases,81,660,13.45,5.833,08/07/2020 16:05
bookshop-ui,81,281,17.83,5.733,08/07/2020 16:05
bookshop-books,82,4309,6.767,8.629,08/07/2020 16:06
bookshop-purchases,82.1,661,25.09,3.333,08/07/2020 16:06
bookshop-ui,82.1,281,8.873,3.4,08/07/2020 16:06
bookshop-books,80.8,4309,8365,6.971,08/07/2020 16:06
bookshop-purchases,80.7,661,16.71,2.933,08/07/2020 16:06
bookshop-ui,82.9,283,6.949,2.167,08/07/2020 16:07
bookshop-books,81.9,4310,3.755,5.086,08/07/2020 16:07
bookshop-purchases,81.4,661,31.93,1.8,08/07/2020 16:07
bookshop-ui,80.8,283,6.726,1.8,08/07/2020 16:07
bookshop-books,80.7,4310,3.477,4.088,08/07/2020 16:08
bookshop-purchases,80.7,661,12.75,2.067,08/07/2020 16:08
bookshop-ui,81.3,283,11.69,2.033,08/07/2020 16:08
bookshop-books,81.7,4310,4264,3.314,08/07/2020 16:08
bookshop-purchases,81.8,661,39.8,1.267,08/07/2020 16:08
bookshop-ui,81.2,283,131.9,1.2,08/07/2020 16:08
bookshop-books,80.5,4310,2.37,2.588,08/07/2020 16:09
bookshop-purchases,80.5,661,7.388,1.433,08/07/2020 16:09
bookshop-ui,81,283,30.65,1.067,08/07/2020 16:09
bookshop-books,82,4310,3.154,2.029,08/07/2020 16:09
bookshop-purchases,82.1,661,10.63,0.967,08/07/2020 16:09
bookshop-ui,81.5,284,205.4,0.767,08/07/2020 16:09
bookshop-books,80.5,4310,8.519,1.588,08/07/2020 16:10
bookshop-purchases,80.7,661,10.17,1.233,08/07/2020 16:10
bookshop-ui,81,284,3917,0.433,08/07/2020 16:10
bookshop-books,82,4310,4289,1.382,08/07/2020 16:10
bookshop-purchases,81.8,661,14.62,0.867,08/07/2020 16:10
bookshop-ui,81.6,284,9761,0.233,08/07/2020 16:10
bookshop-books,80.6,4310,4294,0.971,08/07/2020 16:11
bookshop-purchases,80.6,661,8.85,0.3,08/07/2020 16:11
bookshop-ui,80.6,284,8453,0.467,08/07/2020 16:11
bookshop-books,81.7,4310,52.74,0.853,08/07/2020 16:11
bookshop-purchases,81.7,661,19.73,0.567,08/07/2020 16:11
bookshop-ui,80.8,285,4.25,0.067,08/07/2020 16:12
bookshop-books,81.9,4311,3.405,0.5,08/07/2020 16:12
bookshop-purchases,81.9,661,12.89,0.333,08/07/2020 16:12
bookshop-ui,81.7,285,8583,0.333,08/07/2020 16:12
bookshop-books,80.6,4311,7558,0.559,08/07/2020 16:13
bookshop-purchases,80.6,661,10.5,0.267,08/07/2020 16:13
bookshop-ui,80.8,285,3348,0.133,08/07/2020 16:13
bookshop-books,81.9,4311,4991,0.441,08/07/2020 16:13
bookshop-purchases,81.9,661,5.25,0.1,08/07/2020 16:13
bookshop-ui,81.8,285,7717,0.133,08/07/2020 16:13
bookshop-books,80.6,4311,4785,0.235,08/07/2020 16:14
bookshop-purchases,80.6,661,9.125,0.133,08/07/2020 16:14
bookshop-ui,80.6,285,9784,0.033,08/07/2020 16:15
bookshop-books,82,4311,11350,0.147,08/07/2020 16:15
bookshop-purchases,82,661,3.5,0.033,08/07/2020 16:15
bookshop-ui,81.9,285,12090,0.033,08/07/2020 16:16
bookshop-books,80.4,4311,2165,0.059,08/07/2020 16:17
bookshop-purchases,80.4,661,3,0.033,08/07/2020 16:17
bookshop-ui,35.7,295,3.919,9.967,11/07/2020 17:45
bookshop-books,33.8,4304,3738,14.71,11/07/2020 17:45
bookshop-purchases,35.4,657,6.859,7.833,11/07/2020 17:46
bookshop-ui,32.8,295,6.903,6.133,11/07/2020 17:46
bookshop-books,35.4,4305,1886,9.033,11/07/2020 17:46
bookshop-purchases,35.4,660,9.86,4.8,11/07/2020 17:47
bookshop-ui,35.4,297,3.723,3.5,11/07/2020 17:47
bookshop-books,35,4306,6643,5.433,11/07/2020 17:47
bookshop-purchases,34.9,660,10.92,2.2,11/07/2020 17:48
bookshop-ui,34.9,297,4.12,1.6,11/07/2020 17:48
bookshop-books,35,4306,3819,3.067,11/07/2020 17:48
bookshop-purchases,33.5,662,31.76,1.7,11/07/2020 17:49
bookshop-ui,35.1,297,62.25,1.267,11/07/2020 17:49
bookshop-books,33.4,4308,242,1.8,11/07/2020 17:49
bookshop-purchases,34.8,662,7.939,0.967,11/07/2020 17:50
bookshop-ui,34.8,297,1824,0.7,11/07/2020 17:50
bookshop-books,34.8,4308,3832,1.233,11/07/2020 17:50
bookshop-purchases,34.7,662,35.65,0.867,11/07/2020 17:51
bookshop-ui,33.4,297,906.7,0.433,11/07/2020 17:51
bookshop-books,34.8,4308,1.744,0.767,11/07/2020 17:51
bookshop-purchases,34.6,662,16.23,0.467,11/07/2020 17:52
bookshop-ui,34.7,297,7243,0.3,11/07/2020 17:52
bookshop-books,34.7,4308,228.7,0.3,11/07/2020 17:52
bookshop-purchases,34.7,662,13.32,0.267,11/07/2020 17:53
bookshop-ui,34.7,298,11670,0.133,11/07/2020 17:53
bookshop-books,34.7,4308,448.9,0.3,11/07/2020 17:53
bookshop-purchases,34.6,662,5.75,0.1,11/07/2020 17:54
bookshop-ui,72.8,276,6.717,178.86,11/07/2020 18:02
bookshop-purchases,70.8,303,19.49,179.76,11/07/2020 18:02
bookshop-books,63.2,1809,1.656,307.6,11/07/2020 18:02
bookshop-ui,59,286,2.631,149.8,11/07/2020 18:03
bookshop-purchases,59,427,6.125,152.13,11/07/2020 18:03
bookshop-books,60.1,2985,4.19,266.73,11/07/2020 18:03
bookshop-ui,55.1,291,3.426,145.5,11/07/2020 18:04
bookshop-purchases,55.3,569,8.62,145.36,11/07/2020 18:04
bookshop-books,59.6,4267,2.669,139.32,11/07/2020 18:04
bookshop-ui,45.8,292,3.97,11.667,11/07/2020 18:05
bookshop-purchases,45.8,574,0.333,20.943,11/07/2020 18:05
bookshop-books,32.2,4306,30.79,8.967,11/07/2020 18:05
bookshop-ui,35.8,292,10.16,6.967,11/07/2020 18:06
bookshop-purchases,35.8,574,28.05,12.548,11/07/2020 18:06
bookshop-books,35.5,4308,3.259,4.867,11/07/2020 18:06
bookshop-ui,35.2,292,2.958,4.267,11/07/2020 18:07
bookshop-purchases,35.4,574,6605,7.581,11/07/2020 18:07
bookshop-books,32,4308,8.1,3.433,11/07/2020 18:07
bookshop-ui,35,292,934.6,0.933,11/07/2020 18:10
bookshop-purchases,35,574,14.86,0.833,11/07/2020 18:10
bookshop-books,34.5,4309,5760,1.733,11/07/2020 18:10
bookshop-ui,34.6,293,446.1,0.567,11/07/2020 18:11
bookshop-purchases,34.6,574,26.74,0.7,11/07/2020 18:11
bookshop-books,34.6,4311,360.1,0.9,11/07/2020 18:11
bookshop-ui,34.5,293,6164,0.333,11/07/2020 18:12
bookshop-purchases,34.6,574,7.796,0.367,11/07/2020 18:12
bookshop-books,34.5,4311,6638,0.733,11/07/2020 18:12
bookshop-ui,34,293,13040,0.133,11/07/2020 18:13
bookshop-purchases,34.4,574,7.728,126.5,11/07/2020 18:13
bookshop-books,34,4311,1.846,274.77,11/07/2020 18:13
bookshop-ui,72,275,3.071,173.5,11/07/2020 18:14
bookshop-purchases,64.3,378,3.62,162.9,11/07/2020 18:15
bookshop-books,64.3,1998,0.74,315.26,11/07/2020 18:15
bookshop-ui,60.6,285,3.544,156.5,11/07/2020 18:15
bookshop-purchases,60.6,505,2.284,80.633,11/07/2020 18:16
bookshop-books,59.7,3032,2,152.43,11/07/2020 18:16
bookshop-ui,33.9,288,2.765,102.7,11/07/2020 18:16
bookshop-purchases,48.2,507,6.098,8.767,11/07/2020 18:17
bookshop-books,47.7,3822,1.502,15,11/07/2020 18:17
bookshop-ui,5.3,288,2.984,18.433,11/07/2020 18:17
bookshop-purchases,16,507,10.17,81.7,11/07/2020 18:18
bookshop-books,17.8,3959,6406,142.25,11/07/2020 18:18
bookshop-ui,44,288,5.121,57.4,11/07/2020 18:18
bookshop-purchases,46.8,582,8.622,12.133,11/07/2020 18:19
bookshop-books,45.3,4321,1849,19.273,11/07/2020 18:19
bookshop-ui,33.4,289,11.51,6.7,11/07/2020 18:19
bookshop-purchases,35.9,583,6.601,6.9,11/07/2020 18:20
bookshop-books,35.9,4322,3777,11.562,11/07/2020 18:20
bookshop-ui,35.5,289,7.085,5.567,11/07/2020 18:20
bookshop-purchases,34.7,584,10.23,4.2,11/07/2020 18:21
bookshop-books,34.7,4323,2.196,7.233,11/07/2020 18:21
bookshop-ui,33.7,289,2.883,3.233,11/07/2020 18:21
bookshop-purchases,35.2,584,18.05,2.633,11/07/2020 18:22
bookshop-books,33.3,4323,1.999,4.267,11/07/2020 18:22
bookshop-ui,34.8,289,10.63,1.9,11/07/2020 18:22
bookshop-purchases,34.7,584,26.73,1.133,11/07/2020 18:23
bookshop-books,34.7,4324,1.478,2.6,11/07/2020 18:23
bookshop-ui,35,289,930.9,1.2,11/07/2020 18:23
bookshop-purchases,34.7,584,7.98,0.967,11/07/2020 18:24
bookshop-books,34.7,4324,3815,1.5,11/07/2020 18:24
bookshop-ui,34.7,289,1483,0.767,11/07/2020 18:24
bookshop-purchases,34.6,584,9.429,0.667,11/07/2020 18:25
bookshop-books,34.6,4324,61.42,0.9,11/07/2020 18:25
bookshop-ui,34.6,289,7608,0.4,11/07/2020 18:25
bookshop-purchases,34.6,584,7.842,0.4,11/07/2020 18:26
bookshop-books,34.7,4324,148.4,0.567,11/07/2020 18:26
bookshop-ui,34.7,289,7254,0.167,11/07/2020 18:26
bookshop-purchases,33.3,584,9.265,0.4,11/07/2020 18:27
bookshop-books,34.7,4324,7394,0.433,11/07/2020 18:27
bookshop-ui,33.5,290,7594,0.2,11/07/2020 18:27
bookshop-purchases,34.4,584,9.438,0.133,11/07/2020 18:28
bookshop-books,33.1,4324,478.2,0.167,11/07/2020 18:28
bookshop-ui,34.7,290,10900,0.033,11/07/2020 18:28
bookshop-purchases,34.5,584,4.25,0.067,11/07/2020 18:29
bookshop-books,34.5,4324,5760,0.079,11/07/2020 18:29
bookshop-ui,33.3,278,4.731,7.033,11/07/2020 18:43
bookshop-purchases,35.1,657,12.58,5.333,11/07/2020 18:44
bookshop-books,33.6,4299,2.807,12.71,11/07/2020 18:44
bookshop-ui,35.2,279,3.707,3.367,11/07/2020 18:44
bookshop-purchases,35.2,657,13.99,3.3,11/07/2020 18:45
bookshop-books,34.8,4301,2.873,7.667,11/07/2020 18:45
bookshop-ui,34.7,279,17.11,2.6,11/07/2020 18:45
bookshop-purchases,34.8,657,14.41,1.567,11/07/2020 18:46
bookshop-books,34.7,4301,1.895,4.533,11/07/2020 18:46
bookshop-ui,34.7,279,449,1.567,11/07/2020 18:46
bookshop-purchases,34.8,657,26.65,1.367,11/07/2020 18:47
bookshop-books,34.5,4302,3792,2.8,11/07/2020 18:47
bookshop-ui,33.6,279,890.7,0.933,11/07/2020 18:47
bookshop-purchases,34.9,659,10.11,0.9,11/07/2020 18:48
bookshop-books,34.4,4302,5.84,1.633,11/07/2020 18:48
bookshop-ui,34.5,280,1481,0.6,11/07/2020 18:48
bookshop-purchases,34.5,659,9.596,0.4,11/07/2020 18:49
bookshop-books,33.2,4302,419.1,1,11/07/2020 18:49
bookshop-ui,34.4,280,7584,0.333,11/07/2020 18:49
bookshop-purchases,33.5,659,19.83,0.367,11/07/2020 18:50
bookshop-books,34.7,4302,3927,0.7,11/07/2020 18:50
bookshop-ui,34.4,280,18000,0.3,11/07/2020 18:50
bookshop-purchases,34.3,659,9.922,0.2,11/07/2020 18:51
bookshop-books,34.3,4302,28.81,0.333,11/07/2020 18:51
bookshop-ui,34.3,280,5669,0.067,11/07/2020 18:51
bookshop-purchases,34.4,659,8.219,0.167,11/07/2020 18:52
bookshop-books,34.3,4302,27750,0.233,11/07/2020 18:52
bookshop-ui,71.4,284,2.796,176.33,11/07/2020 18:55
bookshop-purchases,63.8,373,3.036,177.13,11/07/2020 18:56
bookshop-books,58.2,2293,1.959,310.06,11/07/2020 18:56
bookshop-ui,58.3,284,2.963,152.7,11/07/2020 18:56
bookshop-purchases,60.5,489,8.743,157.63,11/07/2020 18:57
bookshop-books,56.1,3622,3.302,259.43,11/07/2020 18:57
bookshop-ui,56.2,286,16.04,146.63,11/07/2020 18:57
bookshop-purchases,59.8,566,3.233,146.33,11/07/2020 18:58
bookshop-books,36.4,4314,1.875,108.36,11/07/2020 18:58
bookshop-ui,32.3,285,14.75,137.28,11/07/2020 19:05
bookshop-books,33.1,567,3.094,325.76,11/07/2020 19:05
bookshop-purchases,35.6,4319,6.414,174,11/07/2020 19:06
bookshop-ui,35.6,286,3.969,157.6,11/07/2020 19:06
bookshop-books,35.4,567,4.126,288.1,11/07/2020 19:06
bookshop-purchases,33,4319,1.408,160.3,11/07/2020 19:07
bookshop-ui,33,286,3.599,137.33,11/07/2020 19:07
bookshop-books,34.9,567,2.925,122.46,11/07/2020 19:07
bookshop-purchases,34.8,4320,4.658,58,11/07/2020 19:08
bookshop-ui,34.8,289,4.681,8.2,11/07/2020 19:08
bookshop-books,46,4315,1865,15.71,11/07/2020 19:08
bookshop-purchases,35.6,587,7.439,8.767,11/07/2020 19:09
bookshop-ui,35.9,298,12.77,6.733,11/07/2020 19:09
bookshop-books,33.4,4315,6.73,9.677,11/07/2020 19:09
bookshop-purchases,35.5,588,5.656,5.333,11/07/2020 19:10
bookshop-ui,34.4,300,16.55,4.033,11/07/2020 19:10
bookshop-books,34.6,4317,5669,5.8,11/07/2020 19:10
bookshop-purchases,35.3,588,22.39,3.533,11/07/2020 19:11
bookshop-ui,35.3,300,2.641,1.833,11/07/2020 19:11
bookshop-books,34.8,4317,2.411,2.967,11/07/2020 19:11
bookshop-purchases,35.1,588,26.65,2.067,11/07/2020 19:12
bookshop-ui,35.1,297,3782,1.4,11/07/2020 19:12
bookshop-books,34.8,4317,9.763,2.033,11/07/2020 19:12
bookshop-purchases,33.6,588,22.18,1.167,11/07/2020 19:13
bookshop-ui,34.7,297,7593,0.9,11/07/2020 19:13
bookshop-books,34,4317,11.94,1.267,11/07/2020 19:13
bookshop-purchases,34.5,588,18.99,1,11/07/2020 19:14
bookshop-ui,34.5,290,402.1,0.1,11/07/2020 19:35
bookshop-purchases,34.5,570,11.8,0.233,11/07/2020 19:35
bookshop-books,34.5,4311,6703,0.267,11/07/2020 19:36
bookshop-ui,34.5,291,8009,0.067,11/07/2020 19:36
bookshop-purchases,34.6,570,18030,0.167,11/07/2020 19:36
bookshop-books,34.6,4311,5.234,0.2,11/07/2020 19:37
bookshop-ui,34.5,291,12750,0.033,11/07/2020 19:37
bookshop-purchases,34.5,570,2.5,0.033,11/07/2020 19:37
bookshop-books,34.5,4311,1907,0.133,11/07/2020 19:38
bookshop-ui,58.1,298,2.878,12,11/07/2020 19:48
bookshop-books,60,4296,4019,14.758,11/07/2020 19:49
bookshop-purchases,58.1,752,19.1,6.7,11/07/2020 19:49
bookshop-ui,58.1,298,15.27,6.767,11/07/2020 19:49
bookshop-books,59.9,4296,6132,9.156,11/07/2020 19:50
bookshop-purchases,59.7,752,10.84,5.733,11/07/2020 19:50
bookshop-ui,60.1,300,8.827,2.867,11/07/2020 19:50
bookshop-books,57.7,4298,2.404,5.344,11/07/2020 19:51
bookshop-purchases,59.8,752,28.36,3.567,11/07/2020 19:51
bookshop-ui,59.5,300,1.623,1.6,11/07/2020 19:52
bookshop-books,59.1,4299,13.75,3.281,11/07/2020 19:53
bookshop-purchases,59.3,753,22.34,1.9,11/07/2020 19:53
bookshop-ui,59.3,300,989.9,1.233,11/07/2020 19:53
bookshop-books,59.2,4299,20.36,1.812,11/07/2020 19:54
bookshop-purchases,57.1,753,3.991,1.067,11/07/2020 19:54
bookshop-ui,59.1,301,3920,0.567,11/07/2020 19:54
bookshop-books,59.2,4299,4012,1.062,11/07/2020 19:55
bookshop-purchases,59.2,753,21.26,0.833,11/07/2020 19:55
bookshop-ui,59.2,301,1949,0.533,11/07/2020 19:55
bookshop-books,59.2,4299,4019,0.742,11/07/2020 19:56
bookshop-purchases,57.1,753,8.664,0.567,11/07/2020 19:56
bookshop-ui,59.1,301,7916,0.233,11/07/2020 19:56
bookshop-books,59.2,4300,3997,0.516,11/07/2020 19:57
bookshop-purchases,59.3,753,11.3,0.267,11/07/2020 19:57
bookshop-ui,59.3,301,5106,0.1,11/07/2020 19:57
bookshop-books,59.2,4300,997.6,0.226,11/07/2020 19:58
bookshop-purchases,57.2,753,9.104,0.367,11/07/2020 19:58
bookshop-ui,82.5,284,0.781,138.36,11/07/2020 20:06
bookshop-books,83,1332,64.49,278.36,11/07/2020 20:06
bookshop-purchases,76.3,347,4.313,134.86,11/07/2020 20:06
bookshop-ui,73,273,4.545,131,11/07/2020 20:07
bookshop-books,72.9,2076,2.913,263.56,11/07/2020 20:07
bookshop-purchases,73.2,432,5.285,123.13,11/07/2020 20:07
bookshop-ui,72.7,281,3.884,123.33,11/07/2020 20:08
bookshop-books,72.8,3022,3.895,247.66,11/07/2020 20:08
bookshop-purchases,72.9,567,4.857,89.367,11/07/2020 20:08
bookshop-ui,65.6,280,3.831,86.333,11/07/2020 20:09
bookshop-books,65.8,3997,1.926,167.83,11/07/2020 20:09
bookshop-purchases,71.1,576,5.391,23.833,11/07/2020 20:09
bookshop-ui,53.1,288,3.685,9.9,11/07/2020 20:11
bookshop-books,54.9,4302,3387,20.556,11/07/2020 20:11
bookshop-purchases,59,577,12.32,9.2,11/07/2020 20:11
bookshop-ui,58.9,276,17.86,7.5,11/07/2020 20:12
bookshop-books,57.7,4303,2935,12.625,11/07/2020 20:12
bookshop-purchases,60.5,577,20.96,5.867,11/07/2020 20:12
bookshop-ui,58.3,276,3.859,3.567,11/07/2020 20:13
bookshop-books,60.1,4303,1,7.406,11/07/2020 20:13
bookshop-purchases,58.1,578,33.1,2.7,11/07/2020 20:13
bookshop-ui,59.7,276,3.922,2.833,11/07/2020 20:14
bookshop-books,59.8,4304,10.11,4.375,11/07/2020 20:14
bookshop-purchases,59.3,578,32.27,2.233,11/07/2020 20:14
bookshop-ui,59.1,278,35.89,1.433,11/07/2020 20:16
bookshop-books,59.2,4304,4.962,2.656,11/07/2020 20:16
bookshop-purchases,59.3,578,24.46,1.167,11/07/2020 20:16
bookshop-ui,57.5,278,879.6,0.733,11/07/2020 20:17
bookshop-books,58.9,4304,1496,1.645,11/07/2020 20:17
bookshop-purchases,59.7,578,6.947,0.533,11/07/2020 20:17
bookshop-ui,59.2,279,6951,0.467,11/07/2020 20:18
bookshop-books,59.2,4306,4000,1.065,11/07/2020 20:18
bookshop-purchases,59,578,16.63,0.467,11/07/2020 20:18
bookshop-ui,57.2,279,7926,0.3,11/07/2020 20:19
bookshop-books,59.1,4306,749.3,0.645,11/07/2020 20:19
bookshop-purchases,58.5,577,7.313,0.367,11/07/2020 20:19
bookshop-ui,59.2,279,7024,0.133,11/07/2020 20:20
bookshop-books,59.2,4307,4730,0.387,11/07/2020 20:20
bookshop-purchases,59,577,9.201,0.367,11/07/2020 20:20
bookshop-ui,58,280,3973,0.033,11/07/2020 20:23
bookshop-books,59,4307,2983,0.125,11/07/2020 20:23
bookshop-purchases,57.2,578,3.292,83.731,11/07/2020 20:23
bookshop-ui,59.5,287,4.09,84.3,11/07/2020 20:32
bookshop-books,59.4,1712,2.42,171.06,11/07/2020 20:32
bookshop-purchases,67.2,379,2.616,101.96,11/07/2020 20:32
bookshop-ui,67.8,289,3.756,120.06,11/07/2020 20:33
bookshop-books,67.2,2474,2.833,239.6,11/07/2020 20:33
bookshop-purchases,73,569,3.981,95.1,11/07/2020 20:33
bookshop-ui,64.3,289,7.095,99.7,11/07/2020 20:34
bookshop-books,64.7,3500,2.068,195.13,11/07/2020 20:34
bookshop-purchases,66.8,569,8.835,83.733,11/07/2020 20:34
bookshop-ui,70.9,290,7.147,62.9,11/07/2020 20:35
bookshop-books,70.9,4314,1.361,102.06,11/07/2020 20:35
bookshop-purchases,63.4,664,5.186,8.7,11/07/2020 20:35
bookshop-ui,58.3,290,6.59,8.9,11/07/2020 20:36
bookshop-books,57.2,4321,1.794,15.121,11/07/2020 20:36
bookshop-purchases,60,665,5.019,7.267,11/07/2020 20:36
bookshop-ui,59.9,290,13.83,5.467,11/07/2020 20:37
bookshop-books,57.8,4322,1.5,8.938,11/07/2020 20:37
bookshop-purchases,59.8,665,34.84,4.367,11/07/2020 20:37
bookshop-ui,58.1,291,2.126,2.467,11/07/2020 20:38
bookshop-books,60.3,4323,2.619,5.125,11/07/2020 20:38
bookshop-purchases,58.7,665,15.76,2.533,11/07/2020 20:38
bookshop-ui,57.6,293,1975,0.967,11/07/2020 20:41
bookshop-books,59.8,4324,4.996,1.875,11/07/2020 20:41
bookshop-purchases,57.5,665,4.635,0.933,11/07/2020 20:41
bookshop-ui,59.6,293,8407,0.6,11/07/2020 20:42
bookshop-books,59.6,4324,8.868,1.25,11/07/2020 20:42
bookshop-purchases,59.6,666,7.438,0.7,11/07/2020 20:42
bookshop-ui,58.8,294,7936,0.367,11/07/2020 20:43
